Alcohol_Content,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,Density,pH,Sulphates,Wine_Quality
9.8,6.0,0.6,0.5,18.0,0.09,18.0,95.0,1.0,3.4,0.7,5
11.2,12.5,0.3,0.1,9.0,0.15,14.0,120.0,1.0,3.4,0.8,6
10.7,7.5,0.2,0.3,14.0,0.04,22.0,110.0,1.02,3.1,0.6,7
11.8,9.0,0.9,0.6,4.5,0.15,28.0,160.0,1.02,3.3,0.7,6
12.5,11.0,0.4,0.2,3.0,0.02,16.0,140.0,1.01,3.7,0.3,4
12.0,12.0,0.3,0.5,8.0,0.08,22.0,100.0,1.02,3.7,0.3,5
11.7,7.5,0.8,0.7,23.0,0.1,28.0,85.0,1.01,3.2,0.5,8
14.5,6.5,0.1,0.7,1.2,0.15,20.0,65.0,0.99,3.8,0.8,7
10.8,13.0,0.6,0.7,7.0,0.15,38.0,150.0,1.04,3.7,0.8,6
10.7,11.5,0.7,0.7,6.0,0.15,8.0,40.0,1.04,3.5,0.3,7
10.2,7.0,0.8,0.6,5.5,0.09,38.0,180.0,1.01,3.0,0.3,6
12.7,10.0,0.8,0.1,16.0,0.12,28.0,140.0,1.03,3.6,0.3,3
13.5,6.5,0.5,0.7,1.2,0.15,18.0,75.0,0.98,3.2,0.7,7
9.8,6.3,0.6,0.4,20.0,0.07,20.0,100.0,1.0,3.2,0.6,5
11.2,9.0,0.7,0.5,11.0,0.09,20.0,130.0,1.02,3.0,0.6,6
12.2,7.5,0.2,0.3,8.0,0.09,13.0,80.0,1.02,3.2,0.5,5
13.5,6.7,0.5,0.2,7.0,0.1,15.0,110.0,1.01,3.3,0.5,7
12.8,10.5,0.4,0.4,9.0,0.13,26.0,140.0,1.02,3.5,0.4,6

